state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
Oregon,No,Basic,Bachelor,Other,F,Suburban,Married,Corporate,L2,Offer1,Web,Four-Door Car,Small
Oregon,No,Basic,Doctor,Unemployed,F,Rural,Married,Corporate,L3,Offer3,Call Center,Two-Door Car,Medsize
California,Yes,Premium,Bachelor,Other,F,Suburban,Divorced,Personal,L3,Offer1,Agent,Four-Door Car,Medsize
Oregon,No,Premium,Bachelor,Employed,F,Rural,Married,Corporate,L2,Offer3,Agent,Four-Door Car,Medsize
Arizona,Yes,Extended,High School or Below,Employed,F,Suburban,Divorced,Personal,L1,Offer2,Agent,Four-Door Car,Medsize
Oregon,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal,L2,Offer3,Branch,SUV,Medsize
Arizona,No,Basic,Bachelor,Employed,F,Suburban,Married,Corporate,L3,Offer2,Web,Four-Door Car,Small
Washington,No,Premium,Bachelor,Unemployed,F,Suburban,Married,Personal,L3,Offer1,Branch,Luxury,Medsize
Oregon,No,Basic,College,Unemployed,F,Suburban,Single,Personal,L3,Offer1,Agent,SUV,Small
California,No,Basic,College,Employed,M,Urban,Single,Corporate,L2,Offer2,Call Center,Four-Door Car,Medsize
Nevada,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Personal,L3,Offer2,Call Center,Two-Door Car,Medsize
Arizona,No,Basic,College,Employed,F,Rural,Married,Personal,L2,Offer2,Branch,SUV,Medsize
Washington,Yes,Basic,College,Employed,M,Urban,Single,Personal,L3,Offer2,Agent,Two-Door Car,Medsize
Oregon,No,Basic,High School or Below,Employed,F,Urban,Married,Personal,L2,Offer1,Call Center,Four-Door Car,Medsize
California,Yes,Basic,Bachelor,Employed,F,Urban,Married,Personal,L2,Offer2,Branch,SUV,Medsize
Washington,Yes,Basic,High School or Below,Other,M,Suburban,Single,Corporate,L2,Offer1,Call Center,SUV,Medsize
Oregon,Yes,Basic,High School or Below,Employed,M,Suburban,Married,Personal,L2,Offer2,Agent,Four-Door Car,Small
Nevada,No,Extended,Master,Unemployed,M,Suburban,Married,Special,L2,Offer1,Agent,Two-Door Car,Small
Arizona,Yes,Basic,Bachelor,Employed,M,Suburban,Married,Personal,L1,Offer2,Agent,Two-Door Car,Medsize
California,No,Extended,Bachelor,Employed,M,Suburban,Married,Corporate,L3,Offer1,Web,SUV,Medsize
Oregon,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal,L3,Offer1,Branch,Two-Door Car,Medsize
Arizona,No,Basic,Doctor,Unemployed,M,Rural,Divorced,Personal,L3,Offer4,Call Center,Four-Door Car,Medsize
Oregon,No,Premium,Bachelor,Employed,M,Urban,Married,Personal,L3,Offer1,Branch,SUV,Medsize
Oregon,Yes,Basic,Bachelor,Unemployed,M,Suburban,Married,Personal,L3,Offer1,Agent,SUV,Large
Washington,No,Basic,Doctor,Unemployed,M,Suburban,Married,Corporate,L2,Offer3,Web,Four-Door Car,Medsize
Oregon,No,Basic,High School or Below,Employed,M,Suburban,Divorced,Personal,L2,Offer2,Web,Two-Door Car,Small
California,Yes,Premium,High School or Below,Employed,F,Rural,Married,Corporate,L1,Offer2,Web,Four-Door Car,Medsize
Arizona,No,Basic,Bachelor,Employed,M,Rural,Divorced,Corporate,L3,Offer4,Agent,Two-Door Car,Small
Oregon,No,Extended,High School or Below,Unemployed,M,Suburban,Single,Personal,L1,Offer1,Branch,SUV,Medsize
California,No,Basic,High School or Below,Employed,M,Urban,Single,Personal,L1,Offer1,Branch,Two-Door Car,Medsize
Arizona,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Personal,L2,Offer2,Branch,Luxury,Medsize
Arizona,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal,L3,Offer3,Agent,SUV,Medsize
Oregon,No,Basic,Bachelor,Employed,M,Urban,Married,Personal,L3,Offer4,Web,Four-Door Car,Medsize
Oregon,Yes,Extended,Master,Employed,M,Urban,Married,Corporate,L3,Offer3,Agent,Four-Door Car,Medsize
California,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal,L2,Offer2,Branch,Two-Door Car,Medsize
Oregon,Yes,Basic,College,Unemployed,M,Suburban,Divorced,Corporate,L3,Offer1,Agent,Two-Door Car,Medsize
Arizona,No,Basic,Bachelor,Employed,F,Urban,Single,Personal,L3,Offer3,Web,Four-Door Car,Medsize
California,No,Extended,College,Unemployed,M,Suburban,Married,Personal,L3,Offer1,Web,Four-Door Car,Medsize
Oregon,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal,L3,Offer1,Web,Four-Door Car,Small
California,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Corporate,L3,Offer2,Call Center,SUV,Medsize
Arizona,No,Premium,Bachelor,Unemployed,M,Suburban,Single,Personal,L2,Offer2,Branch,Four-Door Car,Small
California,No,Basic,High School or Below,Employed,M,Urban,Single,Personal,L2,Offer2,Branch,Two-Door Car,Medsize
California,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal,L3,Offer2,Web,Luxury,Medsize
California,No,Basic,High School or Below,Employed,F,Urban,Married,Personal,L2,Offer2,Branch,Luxury,Medsize
Arizona,Yes,Extended,High School or Below,Employed,M,Rural,Divorced,Personal,L3,Offer1,Agent,Four-Door Car,Medsize
California,No,Basic,Bachelor,Unemployed,F,Suburban,Married,Personal,L2,Offer4,Web,Four-Door Car,Medsize
California,No,Basic,High School or Below,Other,F,Suburban,Married,Personal,L3,Offer4,Call Center,Four-Door Car,Medsize
California,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal,L2,Offer1,Agent,Four-Door Car,Medsize
Oregon,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Personal,L3,Offer2,Agent,SUV,Medsize
Oregon,No,Premium,College,Unemployed,M,Suburban,Married,Personal,L3,Offer1,Call Center,Four-Door Car,Small
California,No,Basic,College,Other,M,Suburban,Divorced,Personal,L3,Offer1,Agent,Luxury,Medsize
California,No,Premium,College,Unemployed,F,Suburban,Single,Personal,L3,Offer3,Branch,SUV,Medsize
California,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal,L3,Offer2,Branch,Four-Door Car,Medsize
Nevada,No,Extended,Bachelor,Employed,M,Suburban,Married,Special,L2,Offer4,Agent,Four-Door Car,Medsize
California,No,Extended,High School or Below,Unemployed,M,Suburban,Single,Personal,L3,Offer1,Agent,Four-Door Car,Medsize
California,No,Extended,College,Employed,M,Urban,Married,Corporate,L3,Offer3,Branch,Two-Door Car,Large
California,No,Basic,College,Unemployed,F,Suburban,Married,Corporate,L2,Offer1,Branch,Four-Door Car,Medsize
California,No,Premium,Master,Employed,F,Suburban,Married,Personal,L2,Offer3,Agent,Four-Door Car,Medsize
California,Yes,Basic,College,Other,F,Suburban,Divorced,Corporate,L3,Offer1,Agent,SUV,Small
California,No,Extended,College,Unemployed,M,Suburban,Single,Corporate,L2,Offer1,Agent,Luxury,Medsize
Arizona,No,Extended,High School or Below,Employed,F,Rural,Married,Personal,L1,Offer2,Agent,Two-Door Car,Medsize
Arizona,No,Basic,High School or Below,Employed,F,Urban,Married,Personal,L3,Offer3,Web,Two-Door Car,Medsize
Arizona,Yes,Basic,High School or Below,Employed,M,Suburban,Married,Personal,L2,Offer2,Call Center,Four-Door Car,Small
Oregon,No,Basic,Master,Unemployed,F,Rural,Divorced,Corporate,L3,Offer2,Branch,Two-Door Car,Medsize
Arizona,No,Basic,Bachelor,Employed,M,Rural,Divorced,Personal,L3,Offer1,Agent,Two-Door Car,Large
California,No,Extended,College,Employed,M,Rural,Married,Personal,L3,Offer2,Agent,Four-Door Car,Large
Oregon,No,Basic,Master,Unemployed,M,Rural,Divorced,Personal,L2,Offer1,Web,Four-Door Car,Medsize
Oregon,No,Basic,High School or Below,Employed,M,Urban,Single,Personal,L3,Offer4,Branch,Four-Door Car,Medsize
Nevada,No,Basic,Bachelor,Employed,F,Urban,Single,Personal,L2,Offer1,Agent,SUV,Small
Washington,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal,L2,Offer2,Call Center,SUV,Medsize
California,No,Basic,College,Employed,F,Suburban,Married,Corporate,L3,Offer2,Agent,SUV,Medsize
Oregon,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal,L3,Offer1,Agent,Four-Door Car,Medsize
California,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal,L2,Offer3,Call Center,SUV,Medsize
Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal,L1,Offer2,Call Center,Four-Door Car,Medsize
Nevada,Yes,Basic,Bachelor,Other,M,Suburban,Married,Personal,L3,Offer1,Agent,SUV,Medsize
Arizona,No,Extended,College,Unemployed,F,Suburban,Married,Personal,L3,Offer4,Branch,Four-Door Car,Medsize
California,Yes,Basic,Bachelor,Other,F,Suburban,Married,Corporate,L1,Offer2,Call Center,Four-Door Car,Medsize
California,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal,L1,Offer4,Call Center,Two-Door Car,Medsize
Washington,No,Basic,Master,Employed,M,Rural,Married,Personal,L3,Offer2,Web,SUV,Medsize
Oregon,No,Premium,College,Other,M,Suburban,Married,Personal,L1,Offer4,Call Center,Four-Door Car,Medsize
Arizona,No,Basic,Bachelor,Employed,M,Rural,Divorced,Personal,L1,Offer4,Agent,Four-Door Car,Medsize
Oregon,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Corporate,L3,Offer1,Branch,SUV,Medsize
Nevada,No,Extended,College,Employed,F,Urban,Married,Corporate,L2,Offer1,Branch,Four-Door Car,Small
Washington,No,Basic,College,Employed,F,Urban,Married,Personal,L1,Offer2,Call Center,Four-Door Car,Medsize
Arizona,Yes,Basic,Bachelor,Employed,F,Rural,Married,Personal,L3,Offer2,Web,Two-Door Car,Medsize
Nevada,No,Basic,Master,Unemployed,M,Suburban,Married,Personal,L3,Offer4,Branch,Two-Door Car,Medsize
Washington,No,Basic,College,Employed,M,Urban,Single,Personal,L1,Offer1,Call Center,SUV,Medsize
California,No,Basic,Bachelor,Other,M,Suburban,Married,Corporate,L3,Offer1,Agent,Two-Door Car,Medsize
Washington,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal,L3,Offer1,Branch,SUV,Medsize
California,No,Premium,College,Employed,F,Urban,Married,Personal,L3,Offer1,Branch,SUV,Small
Washington,No,Premium,College,Other,F,Suburban,Married,Corporate,L2,Offer1,Web,Four-Door Car,Medsize
Washington,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal,L1,Offer1,Agent,Two-Door Car,Medsize
Washington,No,Basic,College,Employed,M,Urban,Married,Personal,L3,Offer2,Call Center,SUV,Large
Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal,L3,Offer2,Branch,Four-Door Car,Small
Arizona,Yes,Basic,High School or Below,Unemployed,F,Suburban,Divorced,Corporate,L1,Offer1,Web,Luxury,Medsize
Washington,No,Extended,Master,Unemployed,M,Suburban,Married,Personal,L2,Offer1,Agent,SUV,Small
Washington,No,Premium,Bachelor,Employed,F,Rural,Married,Corporate,L2,Offer1,Agent,SUV,Medsize
Washington,No,Extended,High School or Below,Employed,F,Suburban,Single,Personal,L2,Offer1,Call Center,SUV,Medsize
California,No,Basic,Bachelor,Employed,M,Rural,Divorced,Personal,L3,Offer2,Agent,SUV,Medsize
Oregon,No,Extended,High School or Below,Employed,F,Suburban,Divorced,Personal,L1,Offer3,Branch,SUV,Small
Arizona,No,Extended,High School or Below,Unemployed,M,Rural,Married,Personal,L3,Offer4,Branch,Four-Door Car,Medsize
California,No,Basic,College,Employed,F,Suburban,Single,Personal,L1,Offer1,Call Center,SUV,Medsize
Arizona,Yes,Extended,Bachelor,Other,F,Suburban,Single,Corporate,L3,Offer1,Agent,SUV,Medsize
Arizona,Yes,Premium,Bachelor,Employed,F,Rural,Divorced,Personal,L2,Offer2,Agent,Four-Door Car,Medsize
California,No,Basic,College,Employed,M,Suburban,Married,Corporate,L3,Offer1,Branch,SUV,Small
California,No,Basic,College,Employed,M,Suburban,Married,Personal,L3,Offer3,Agent,Four-Door Car,Large
Washington,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Special,L3,Offer1,Agent,Four-Door Car,Medsize
California,Yes,Basic,College,Employed,M,Suburban,Married,Corporate,L1,Offer1,Agent,SUV,Medsize
Nevada,No,Extended,Bachelor,Unemployed,M,Suburban,Married,Personal,L2,Offer1,Agent,SUV,Medsize
California,No,Basic,Bachelor,Employed,M,Rural,Divorced,Personal,L2,Offer3,Branch,Four-Door Car,Large
California,No,Basic,Bachelor,Unemployed,M,Urban,Married,Personal,L2,Offer3,Branch,Four-Door Car,Medsize
Oregon,No,Basic,Bachelor,Other,F,Suburban,Married,Corporate,L3,Offer3,Web,Four-Door Car,Small
California,No,Basic,Bachelor,Employed,F,Rural,Single,Personal,L3,Offer3,Call Center,SUV,Medsize
California,No,Basic,High School or Below,Unemployed,F,Urban,Married,Personal,L3,Offer1,Call Center,Four-Door Car,Medsize
Nevada,No,Basic,College,Other,F,Suburban,Married,Personal,L3,Offer1,Branch,SUV,Medsize
Oregon,No,Extended,Bachelor,Employed,M,Suburban,Married,Corporate,L2,Offer2,Agent,Four-Door Car,Large
Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Personal,L3,Offer1,Branch,Four-Door Car,Medsize
Nevada,No,Basic,Master,Employed,F,Urban,Single,Personal,L1,Offer1,Call Center,Two-Door Car,Medsize
California,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal,L1,Offer1,Call Center,Four-Door Car,Medsize
Oregon,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal,L3,Offer1,Web,Luxury,Medsize
California,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal,L2,Offer1,Web,SUV,Medsize
Arizona,No,Basic,Master,Other,M,Suburban,Married,Personal,L3,Offer2,Branch,Four-Door Car,Small
California,No,Extended,Doctor,Employed,F,Urban,Married,Personal,L3,Offer3,Agent,Two-Door Car,Small
Nevada,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal,L2,Offer4,Branch,SUV,Medsize
Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal,L1,Offer3,Agent,Two-Door Car,Medsize
Oregon,No,Basic,Master,Employed,M,Rural,Single,Personal,L3,Offer1,Agent,Four-Door Car,Large
Arizona,No,Extended,High School or Below,Employed,F,Rural,Married,Personal,L3,Offer2,Branch,Luxury,Small
Arizona,No,Premium,Bachelor,Employed,F,Suburban,Single,Corporate,L3,Offer2,Agent,Two-Door Car,Small
Arizona,No,Basic,High School or Below,Other,M,Suburban,Divorced,Personal,L1,Offer1,Agent,SUV,Small
Arizona,No,Extended,High School or Below,Unemployed,M,Suburban,Single,Personal,L3,Offer1,Agent,Two-Door Car,Medsize
Washington,No,Basic,High School or Below,Employed,M,Rural,Married,Special,L2,Offer1,Call Center,Luxury,Medsize
Washington,Yes,Basic,Bachelor,Employed,M,Suburban,Married,Personal,L3,Offer2,Agent,Two-Door Car,Medsize
Oregon,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Corporate,L3,Offer2,Agent,Four-Door Car,Small
Oregon,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal,L3,Offer2,Web,SUV,Medsize
California,Yes,Extended,Doctor,Employed,M,Suburban,Divorced,Personal,L3,Offer2,Agent,Luxury,Medsize
California,Yes,Basic,High School or Below,Employed,F,Suburban,Married,Special,L3,Offer2,Agent,Luxury,Medsize
Arizona,No,Basic,College,Employed,M,Rural,Single,Personal,L2,Offer2,Web,Four-Door Car,Large
Washington,Yes,Basic,High School or Below,Other,F,Suburban,Married,Personal,L2,Offer1,Branch,SUV,Large
California,No,Extended,Bachelor,Employed,M,Rural,Married,Personal,L3,Offer3,Web,Four-Door Car,Small
California,No,Extended,Bachelor,Employed,F,Urban,Single,Personal,L3,Offer1,Call Center,SUV,Medsize
California,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal,L1,Offer1,Agent,Two-Door Car,Medsize
Oregon,No,Premium,Bachelor,Unemployed,F,Rural,Married,Personal,L3,Offer1,Branch,Four-Door Car,Medsize
California,No,Basic,Doctor,Employed,F,Suburban,Married,Personal,L3,Offer4,Web,Four-Door Car,Medsize
Oregon,Yes,Extended,High School or Below,Other,F,Suburban,Married,Personal,L1,Offer2,Agent,Four-Door Car,Large
Arizona,No,Basic,College,Employed,F,Rural,Married,Corporate,L2,Offer3,Agent,Two-Door Car,Medsize
California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal,L2,Offer2,Branch,SUV,Medsize
Oregon,No,Basic,High School or Below,Employed,M,Urban,Single,Personal,L2,Offer4,Agent,Two-Door Car,Medsize
Arizona,No,Basic,College,Other,M,Suburban,Married,Personal,L3,Offer2,Web,Luxury,Medsize
California,No,Extended,High School or Below,Employed,F,Urban,Married,Special,L2,Offer1,Agent,SUV,Medsize
Nevada,No,Basic,Master,Employed,F,Rural,Married,Personal,L3,Offer2,Web,SUV,Small
Arizona,No,Basic,College,Unemployed,M,Suburban,Married,Personal,L3,Offer2,Agent,Four-Door Car,Medsize
Nevada,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal,L3,Offer2,Call Center,Luxury,Large
California,No,Extended,College,Employed,M,Suburban,Married,Personal,L3,Offer1,Web,Luxury,Medsize
Oregon,No,Basic,Bachelor,Other,M,Suburban,Married,Personal,L2,Offer1,Agent,Luxury,Medsize
Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal,L2,Offer2,Branch,Two-Door Car,Medsize
Arizona,Yes,Basic,Doctor,Employed,M,Suburban,Married,Personal,L2,Offer1,Agent,SUV,Large
California,No,Basic,College,Unemployed,M,Rural,Married,Corporate,L3,Offer3,Agent,Luxury,Medsize
California,No,Extended,High School or Below,Employed,F,Suburban,Divorced,Personal,L3,Offer1,Agent,Luxury,Medsize
California,No,Extended,Bachelor,Employed,F,Suburban,Married,Personal,L3,Offer4,Agent,Four-Door Car,Medsize
Oregon,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Personal,L2,Offer1,Branch,Four-Door Car,Large
Oregon,No,Extended,Doctor,Unemployed,M,Suburban,Divorced,Personal,L3,Offer3,Agent,SUV,Medsize
Arizona,No,Extended,College,Unemployed,M,Suburban,Single,Personal,L3,Offer1,Branch,Four-Door Car,Small
California,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Corporate,L3,Offer1,Branch,Luxury,Medsize
Oregon,No,Premium,High School or Below,Other,F,Suburban,Divorced,Personal,L3,Offer2,Call Center,Four-Door Car,Medsize
Washington,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal,L2,Offer2,Branch,SUV,Medsize
Nevada,No,Extended,High School or Below,Employed,M,Rural,Single,Corporate,L1,Offer3,Call Center,Four-Door Car,Medsize
Oregon,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal,L3,Offer1,Call Center,Luxury,Large
Oregon,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Special,L3,Offer2,Agent,Four-Door Car,Medsize
Oregon,No,Basic,Bachelor,Employed,F,Rural,Divorced,Personal,L3,Offer3,Branch,SUV,Medsize
Oregon,No,Basic,High School or Below,Employed,F,Suburban,Married,Special,L3,Offer1,Branch,Two-Door Car,Medsize
California,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Special,L2,Offer2,Agent,Four-Door Car,Small
Oregon,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal,L3,Offer1,Branch,Four-Door Car,Small
Nevada,No,Basic,High School or Below,Employed,M,Urban,Married,Special,L2,Offer2,Call Center,Four-Door Car,Small
Oregon,No,Extended,Bachelor,Employed,F,Suburban,Married,Corporate,L2,Offer2,Web,Four-Door Car,Small
Oregon,Yes,Basic,High School or Below,Other,F,Suburban,Divorced,Corporate,L3,Offer1,Agent,Four-Door Car,Medsize
Arizona,No,Basic,College,Other,F,Suburban,Married,Personal,L3,Offer1,Branch,Two-Door Car,Small
Arizona,No,Basic,High School or Below,Employed,M,Urban,Single,Personal,L3,Offer1,Agent,Four-Door Car,Medsize
California,No,Basic,High School or Below,Unemployed,F,Suburban,Divorced,Personal,L3,Offer2,Agent,Four-Door Car,Medsize
California,No,Basic,College,Employed,M,Suburban,Married,Personal,L2,Offer3,Call Center,Two-Door Car,Small
Nevada,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal,L3,Offer1,Agent,Four-Door Car,Small
California,No,Basic,College,Employed,F,Suburban,Married,Personal,L3,Offer4,Call Center,Four-Door Car,Medsize
Washington,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal,L2,Offer3,Branch,Four-Door Car,Small
Oregon,No,Basic,High School or Below,Employed,M,Urban,Married,Personal,L2,Offer3,Agent,Two-Door Car,Medsize
Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Married,Personal,L3,Offer2,Call Center,Four-Door Car,Small
Nevada,No,Premium,Bachelor,Employed,M,Rural,Single,Corporate,L3,Offer1,Agent,Four-Door Car,Medsize
Oregon,No,Basic,College,Employed,F,Suburban,Married,Corporate,L3,Offer2,Web,Four-Door Car,Medsize
Arizona,No,Basic,College,Unemployed,M,Suburban,Single,Personal,L2,Offer1,Web,Luxury,Small
Nevada,No,Basic,College,Employed,F,Suburban,Single,Personal,L1,Offer4,Agent,SUV,Medsize
Washington,No,Extended,High School or Below,Unemployed,M,Suburban,Single,Personal,L3,Offer1,Branch,Four-Door Car,Small
California,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal,L3,Offer2,Branch,Four-Door Car,Medsize
California,Yes,Basic,Doctor,Employed,M,Suburban,Married,Corporate,L3,Offer1,Agent,SUV,Large
Arizona,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Personal,L3,Offer2,Call Center,Two-Door Car,Large
Nevada,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Corporate,L2,Offer1,Agent,Luxury,Medsize
Washington,No,Basic,High School or Below,Employed,F,Rural,Married,Special,L2,Offer4,Branch,Four-Door Car,Medsize
California,No,Extended,Bachelor,Employed,M,Urban,Married,Personal,L3,Offer1,Call Center,SUV,Medsize
Arizona,No,Extended,High School or Below,Employed,F,Rural,Married,Personal,L3,Offer2,Branch,Two-Door Car,Medsize
California,No,Basic,College,Other,M,Suburban,Married,Corporate,L3,Offer3,Branch,Four-Door Car,Small
Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal,L1,Offer1,Call Center,SUV,Small
Oregon,No,Extended,College,Employed,M,Suburban,Single,Personal,L1,Offer2,Call Center,Four-Door Car,Medsize
Oregon,No,Basic,College,Employed,F,Suburban,Married,Corporate,L2,Offer1,Call Center,Luxury,Medsize
Oregon,No,Extended,College,Unemployed,F,Suburban,Single,Personal,L3,Offer1,Call Center,Four-Door Car,Medsize
Arizona,No,Basic,College,Employed,M,Urban,Married,Corporate,L1,Offer2,Branch,Four-Door Car,Small
Nevada,No,Extended,Bachelor,Employed,M,Suburban,Single,Personal,L3,Offer1,Agent,Four-Door Car,Medsize
California,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Corporate,L1,Offer3,Branch,Four-Door Car,Small
Arizona,Yes,Basic,Doctor,Employed,F,Urban,Married,Corporate,L3,Offer2,Branch,Four-Door Car,Medsize
Oregon,No,Premium,College,Unemployed,M,Suburban,Married,Personal,L1,Offer4,Web,Four-Door Car,Medsize
Arizona,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Corporate,L3,Offer1,Call Center,SUV,Medsize
Arizona,No,Premium,College,Employed,M,Suburban,Single,Personal,L3,Offer2,Agent,SUV,Medsize
Oregon,No,Basic,College,Employed,F,Rural,Married,Personal,L3,Offer1,Agent,Two-Door Car,Small
Oregon,No,Extended,High School or Below,Unemployed,M,Suburban,Married,Personal,L2,Offer1,Branch,SUV,Small
California,No,Basic,Bachelor,Unemployed,F,Suburban,Divorced,Personal,L1,Offer1,Call Center,Two-Door Car,Small
Oregon,Yes,Basic,Bachelor,Other,M,Suburban,Divorced,Personal,L3,Offer1,Agent,Four-Door Car,Large
Oregon,No,Basic,College,Unemployed,F,Suburban,Single,Personal,L1,Offer1,Agent,Luxury,Medsize
Nevada,No,Basic,College,Employed,F,Rural,Divorced,Personal,L2,Offer1,Agent,Four-Door Car,Small
California,Yes,Basic,High School or Below,Employed,F,Urban,Married,Personal,L3,Offer1,Agent,SUV,Medsize
California,No,Premium,Bachelor,Employed,M,Rural,Married,Personal,L2,Offer1,Branch,Four-Door Car,Medsize
Nevada,No,Extended,Master,Employed,M,Urban,Married,Corporate,L2,Offer2,Agent,Luxury,Small
California,Yes,Extended,College,Other,F,Suburban,Divorced,Personal,L3,Offer1,Agent,Luxury,Medsize
Oregon,No,Extended,High School or Below,Employed,F,Urban,Married,Personal,L3,Offer1,Web,SUV,Medsize
Nevada,No,Basic,Bachelor,Employed,F,Urban,Married,Personal,L1,Offer2,Web,Four-Door Car,Medsize
Nevada,No,Basic,Bachelor,Other,M,Rural,Married,Personal,L3,Offer1,Agent,Two-Door Car,Medsize
Arizona,Yes,Extended,College,Other,M,Suburban,Married,Personal,L3,Offer1,Agent,Four-Door Car,Medsize
California,Yes,Basic,College,Other,F,Suburban,Single,Personal,L3,Offer2,Web,Four-Door Car,Large
Oregon,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal,L3,Offer1,Agent,Four-Door Car,Small
Oregon,No,Extended,College,Unemployed,F,Suburban,Single,Personal,L3,Offer1,Branch,Two-Door Car,Medsize
California,No,Basic,College,Employed,M,Urban,Divorced,Personal,L2,Offer2,Web,Four-Door Car,Medsize
Oregon,No,Extended,Bachelor,Employed,F,Suburban,Married,Personal,L1,Offer2,Branch,Four-Door Car,Medsize
Arizona,No,Basic,Bachelor,Employed,F,Suburban,Married,Corporate,L3,Offer2,Agent,Four-Door Car,Medsize
Oregon,No,Extended,High School or Below,Employed,F,Suburban,Married,Personal,L3,Offer2,Call Center,Two-Door Car,Large
Oregon,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Corporate,L1,Offer4,Agent,Two-Door Car,Medsize
California,No,Basic,College,Employed,F,Urban,Married,Personal,L1,Offer2,Web,Four-Door Car,Small
Oregon,No,Basic,College,Employed,M,Rural,Divorced,Personal,L2,Offer2,Agent,Four-Door Car,Medsize
Nevada,No,Extended,Bachelor,Employed,M,Suburban,Divorced,Corporate,L3,Offer1,Branch,SUV,Medsize
Nevada,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal,L3,Offer4,Call Center,Four-Door Car,Medsize
Arizona,No,Extended,Bachelor,Employed,F,Urban,Married,Personal,L3,Offer3,Agent,Four-Door Car,Medsize
Washington,Yes,Basic,Bachelor,Employed,F,Suburban,Married,Personal,L3,Offer1,Agent,Two-Door Car,Medsize
Oregon,Yes,Extended,Master,Unemployed,F,Suburban,Single,Personal,L2,Offer1,Branch,Luxury,Medsize
Oregon,No,Extended,Bachelor,Employed,F,Urban,Married,Personal,L2,Offer2,Web,Two-Door Car,Medsize
California,No,Extended,Bachelor,Employed,M,Rural,Married,Personal,L2,Offer2,Call Center,SUV,Medsize
California,No,Basic,Bachelor,Employed,M,Rural,Married,Special,L3,Offer1,Call Center,Four-Door Car,Medsize
California,No,Extended,Master,Employed,M,Urban,Married,Personal,L2,Offer3,Agent,Four-Door Car,Medsize
California,No,Basic,College,Employed,F,Suburban,Married,Personal,L3,Offer1,Agent,Four-Door Car,Medsize
Oregon,No,Basic,High School or Below,Employed,F,Rural,Married,Personal,L3,Offer2,Branch,SUV,Medsize
Washington,Yes,Premium,High School or Below,Employed,F,Suburban,Single,Personal,L2,Offer1,Agent,Four-Door Car,Medsize
Nevada,No,Extended,High School or Below,Other,F,Suburban,Married,Corporate,L2,Offer2,Web,Four-Door Car,Small
